Project,MethodName,Release,LOC,CyclomaticComplexity,ParameterCount,NumberOfBranches,NR,NAuth,stmtAdded,stmtDeleted,elseAdded,avgChurn,IsBuggy
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/readMasterKey(),4.0.0,19,4,0,3,4,3,176,3,0,44.75,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/size(),4.0.0,7,2,0,1,0,0,0,0,0,0.0,yes
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/read(ByteBuffer, long)",4.0.0,3,1,2,0,1,1,4,0,0,4.0,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/readAbsolute(ByteBuffer, long)",4.0.0,13,3,2,2,1,1,3,1,0,4.0,yes
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/close(),4.0.0,6,2,0,1,0,0,0,0,0,0.0,yes
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/write(ByteBuffer[], long)",4.0.0,19,4,2,3,0,0,0,0,0,0.0,yes
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/use(),4.0.0,3,1,0,0,0,0,0,0,0,0.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/release(),4.0.0,10,3,0,1,0,0,0,0,0,0.0,yes
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/getFile(),4.0.0,3,1,0,0,0,0,0,0,0,0.0,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/LedgerCache(ServerConfiguration, LedgerManager)",4.0.0,18,2,2,1,4,3,220,7,1,56.75,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getPageSize(),4.0.0,3,1,0,0,2,2,210,6,0,108.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getEntriesPerPage(),4.0.0,3,1,0,0,2,2,205,8,0,106.5,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/putIntoTable(HashMap, LedgerEntryPage)",4.0.0,8,2,2,1,2,2,202,2,0,102.0,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getFromTable(HashMap, Long, Long)",4.0.0,7,2,3,1,2,2,201,1,0,101.0,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getLedgerEntryPage(Long, Long, boolean)",4.0.0,13,3,3,2,1,1,200,0,0,200.0,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/putEntryOffset(long, long, long)",4.0.0,20,3,3,2,3,3,203,3,0,68.66666666666667,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getEntryOffset(long, long)",4.0.0,22,3,2,2,3,3,203,3,0,68.66666666666667,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getLedgerName(long),4.0.0,12,1,1,0,2,2,201,1,0,101.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/checkParents(File),4.0.0,9,3,1,2,1,1,200,0,0,200.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/pickDirs(File[]),4.0.0,3,1,1,0,1,1,200,0,0,200.0,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getFileInfo(Long, boolean)",4.0.0,40,8,2,8,3,2,202,2,0,68.0,no
